Alles	alles	PRON	O
yn	yn	ADP	O
it	it	DET	O
fjild	fjild	NOUN	O
wie	wêze	AUX	O
te	te	ADP	O
rûken	rûke	VERB	O
en	en	CCONJ	O
te	te	ADP	O
fielen	fiele	VERB	O
.	.	PUNCT	O

It	it	DET	O
labium	labium	NOUN	O
sit	sitte	VERB	O
efter	efter	ADP	O
it	it	DET	O
blok	blok	NOUN	O
dat	dat	SCONJ	O
yn	yn	ADP	O
in	in	DET	O
silindryske	silindrysk	ADJ	O
buis	buis	NOUN	O
skood	skowe	VERB	O
wurdt	wurde	AUX	O
(	(	PUNCT	O
dêrom	dêrom	ADV	O
de	de	DET	O
namme	namme	NOUN	O
blok-fluit	blok-fluit	NOUN	O
)	)	PUNCT	O
.	.	PUNCT	O

‘	‘	PUNCT	O
Al	al	ADV	O
wer	wer	ADV	O
,	,	PUNCT	O
’	’	PUNCT	O
fersuchte	fersuchtsje	VERB	O
Daniël	Daniël	PROPN	B-PER
.	.	PUNCT	O

Oaren	oar	NOUN	O
spylje	spylje	VERB	O
yn	yn	ADP	O
de	de	DET	O
wrâld	wrâld	NOUN	O
fan	fan	ADP	O
hjoed	hjoed	ADV	O
de	de	DET	O
dei	dei	NOUN	O
.	.	PUNCT	O

Visser	Visser	ADP	O
:	:	PUNCT	O
Wat	wat	PRON	O
dan	dan	ADV	O
?	?	PUNCT	O
’	’	PUNCT	O

Saske	Sask	ADJ	B-PER
.	.	PUNCT	O
Brolsma	Brolsma	PRON	B-PER
wie	wêze	AUX	O
foar	foar	ADP	O
kollega’s	kollega	NOUN	O
oer	oer	ADP	O
by	by	ADP	O
gelegenheid	gelegenheid	NOUN	O
tige	tige	ADJ	O
hertlik	hertlik	ADJ	O
.	.	PUNCT	O

It	it	DET	O
libbensferhaal	libbensferhaal	NOUN	O
wurdt	wurde	AUX	O
krûmelich	krûmelich	ADJ	O
en	en	CCONJ	O
ferliest	ferlwaan	VERB	O
syn	syn	PRON	O
skerpe	skerp	ADJ	O
kontoeren	kontoer	NOUN	O
.	.	PUNCT	O

